Domain,Category,Product URL
amazon.in,smart phones,https://www.amazon.in/realme-Storage-Comfort-Resistance-48-Month/dp/B0D9482G3M/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID9guKJOE5XLTZHyz07mSTiXZr4GZ1ninlNnFhMzMrotlP9jclJyj3wFmq4slJnrjHIrPXcMDkNMCmwo-mSNUSV7HpZMNjrcA19-QaeIvF_zgXzvf2P0HXuDAtEjBgKfmxUjHrgZjcvdGzT8FgMewuzhIVH2354HnDefRS5qB-zoO_dqRpWMM0Hha7eS03QqwwKAvJj752dEY6ZFIdX5KOA8.a1dFLfaQ0vkysJx4QYf9WHnyQXvm2QTbBHDnGFKrtZg&dib_tag=se&keywords=smart+phones&qid=1738587852&sr=8-10
amazon.in,smart phones,https://www.amazon.in/POCO-C61-Ethereal-Blue-64GB/dp/B0CYBLHZPW/ref=sr_1_5?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID9guKJOE5XLTZHyz07mSTiXZr4GZ1ninlNnFhMzMrotlP9jclJyj3wFmq4slJnrjHIrPXcMDkNMCmwo-mSNUSV7HpZMNjrcA19-QaeIvF_zgXzvf2P0HXuDAtEjBgKfmxUjHrgZjcvdGzT8FgMewuzhIVH2354HnDefRS5qB-zoO_dqRpWMM0Hha7eS03QqwwKAvJj752dEY6ZFIdX5KOA8.a1dFLfaQ0vkysJx4QYf9WHnyQXvm2QTbBHDnGFKrtZg&dib_tag=se&keywords=smart+phones&qid=1738587852&sr=8-5
amazon.in,smart phones,https://www.amazon.in/realme-Storage-Comfort-Resistance-48-Month/dp/B0D947DTLT/ref=sr_1_4?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID9guKJOE5XLTZHyz07mSTiXZr4GZ1ninlNnFhMzMrotlP9jclJyj3wFmq4slJnrjHIrPXcMDkNMCmwo-mSNUSV7HpZMNjrcA19-QaeIvF_zgXzvf2P0HXuDAtEjBgKfmxUjHrgZjcvdGzT8FgMewuzhIVH2354HnDefRS5qB-zoO_dqRpWMM0Hha7eS03QqwwKAvJj752dEY6ZFIdX5KOA8.a1dFLfaQ0vkysJx4QYf9WHnyQXvm2QTbBHDnGFKrtZg&dib_tag=se&keywords=smart+phones&qid=1738587852&sr=8-4
amazon.in,smart phones,https://www.amazon.in/OnePlus-Ultra-Orange-128GB-Storage/dp/B0D5YDJ5QM/ref=sr_1_18?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID9guKJOE5XLTZHyz07mSTiXZr4GZ1ninlNnFhMzMrotlP9jclJyj3wFmq4slJnrjHIrPXcMDkNMCmwo-mSNUSV7HpZMNjrcA19-QaeIvF_zgXzvf2P0HXuDAtEjBgKfmxUjHrgZjcvdGzT8FgMewuzhIVH2354HnDefRS5qB-zoO_dqRpWMM0Hha7eS03QqwwKAvJj752dEY6ZFIdX5KOA8.a1dFLfaQ0vkysJx4QYf9WHnyQXvm2QTbBHDnGFKrtZg&dib_tag=se&keywords=smart+phones&qid=1738587852&sr=8-18
amazon.in,smart phones,https://www.amazon.in/OnePlus-Nord-Chromatic-128GB-Storage/dp/B0BY8MCQ9S/ref=sr_1_14?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID9guKJOE5XLTZHyz07mSTiXZr4GZ1ninlNnFhMzMrotlP9jclJyj3wFmq4slJnrjHIrPXcMDkNMCmwo-mSNUSV7HpZMNjrcA19-QaeIvF_zgXzvf2P0HXuDAtEjBgKfmxUjHrgZjcvdGzT8FgMewuzhIVH2354HnDefRS5qB-zoO_dqRpWMM0Hha7eS03QqwwKAvJj752dEY6ZFIdX5KOA8.a1dFLfaQ0vkysJx4QYf9WHnyQXvm2QTbBHDnGFKrtZg&dib_tag=se&keywords=smart+phones&qid=1738587852&sr=8-14#customerReviews
amazon.in,smart phones,https://www.amazon.in/Samsung-Galaxy-Storage-MediaTek-Battery/dp/B0CJ2DVN1Q/ref=cs_sr_dp_3?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID9guKJOE5XLTZHyz07mSTiXZr4GZ1ninlNnFhMzMrotlP9jclJyj3wFmq4slJnrjHIrPXcMDkNMCmwo-mSNUSV7HpZMNjrcA19-QaeIvF_zgXzvf2P0HXuDAtEjBgKfmxUjHrgZjcvdGzT8FgMewuzhIVH2354HnDefRS5qB-zoO_dqRpWMM0Hha7eS03QqwwKAvJj752dEY6ZFIdX5KOA8.a1dFLfaQ0vkysJx4QYf9WHnyQXvm2QTbBHDnGFKrtZg&dib_tag=se&keywords=smart+phones&qid=1738587852&sr=8-9
amazon.in,smart phones,https://www.amazon.in/Samsung-Storage-Display-Charging-Security/dp/B0DFY3XCB6/ref=sr_1_3?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID9guKJOE5XLTZHyz07mSTiXZr4GZ1ninlNnFhMzMrotlP9jclJyj3wFmq4slJnrjHIrPXcMDkNMCmwo-mSNUSV7HpZMNjrcA19-QaeIvF_zgXzvf2P0HXuDAtEjBgKfmxUjHrgZjcvdGzT8FgMewuzhIVH2354HnDefRS5qB-zoO_dqRpWMM0Hha7eS03QqwwKAvJj752dEY6ZFIdX5KOA8.a1dFLfaQ0vkysJx4QYf9WHnyQXvm2QTbBHDnGFKrtZg&dib_tag=se&keywords=smart+phones&qid=1738587852&sr=8-3
amazon.in,smart phones,https://www.amazon.in/realme-Storage-Comfort-Resistance-48-Month/dp/B0D9482G3M/ref=sr_1_10?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID9guKJOE5XLTZHyz07mSTiXZr4GZ1ninlNnFhMzMrotlP9jclJyj3wFmq4slJnrjHIrPXcMDkNMCmwo-mSNUSV7HpZMNjrcA19-QaeIvF_zgXzvf2P0HXuDAtEjBgKfmxUjHrgZjcvdGzT8FgMewuzhIVH2354HnDefRS5qB-zoO_dqRpWMM0Hha7eS03QqwwKAvJj752dEY6ZFIdX5KOA8.a1dFLfaQ0vkysJx4QYf9WHnyQXvm2QTbBHDnGFKrtZg&dib_tag=se&keywords=smart+phones&qid=1738587852&sr=8-10
amazon.in,smart phones,https://www.amazon.in/realme-Storage-Comfort-Resistance-48-Month/dp/B0D947DTLT/ref=sr_1_4?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID9guKJOE5XLTZHyz07mSTiXZr4GZ1ninlNnFhMzMrotlP9jclJyj3wFmq4slJnrjHIrPXcMDkNMCmwo-mSNUSV7HpZMNjrcA19-QaeIvF_zgXzvf2P0HXuDAtEjBgKfmxUjHrgZjcvdGzT8FgMewuzhIVH2354HnDefRS5qB-zoO_dqRpWMM0Hha7eS03QqwwKAvJj752dEY6ZFIdX5KOA8.a1dFLfaQ0vkysJx4QYf9WHnyQXvm2QTbBHDnGFKrtZg&dib_tag=se&keywords=smart+phones&qid=1738587852&sr=8-4#customerReviews
amazon.in,smart phones,https://www.amazon.in/OnePlus-Ultra-Orange-128GB-Storage/dp/B0D5YDJ5QM/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID9guKJOE5XLTZHyz07mSTiXZr4GZ1ninlNnFhMzMrotlP9jclJyj3wFmq4slJnrjHIrPXcMDkNMCmwo-mSNUSV7HpZMNjrcA19-QaeIvF_zgXzvf2P0HXuDAtEjBgKfmxUjHrgZjcvdGzT8FgMewuzhIVH2354HnDefRS5qB-zoO_dqRpWMM0Hha7eS03QqwwKAvJj752dEY6ZFIdX5KOA8.a1dFLfaQ0vkysJx4QYf9WHnyQXvm2QTbBHDnGFKrtZg&dib_tag=se&keywords=smart+phones&qid=1738587852&sr=8-18
